project,sample,site,revisit,revisitid,g_hair,u_hair,type,barb,hair_colour,site_id,site_number,site_type,season,revisit_date,revisit_crew,site_name.x,utme,utmn,utm_zone,individual,sex,species,year,Treatment
nt,43400,at08,1,2019at0801,10-Apr,,g,b17,bl,2019at08,at08,passive,summer,08/03/2019,"kf, qh, km",63 hole,307975,5808563,10,43410,female,black,2019,Reference
nt,43405,at25,8,2019at2508,10-Apr,10-Apr,both,a5,bl,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,22477,male,black,2019,Platform_Drift
nt,43407,at26,8,2019at2608,>10,>10,both,34,mixed,2019at26,at26,passive,fall,09/27/2019,"as, kf, km",big tweedsmuir,699240,5806240,9,43407,female,grizzly,2019,Platform_Drift
nt,43408,at25,8,2019at2508,10-Apr,10-Apr,both,a12,bl,2019at25,at25,passive,fall,09/27/2019,"as, kf, km",little tweedsmuir,699677,5805811,9,36523,female,black,2019,Platform_Drift
nt,43409,at15,7,2019at1507,10-Apr,,g,a8,mixed,2019at15,at15,passive,summer,09/10/2019,"kf, as",camp creek,301453,5810381,10,41396,female,grizzly,2019,Landbased
nt,43410,at08,1,2019at0801,10-Apr,lots,both,b7,bl,2019at08,at08,passive,summer,08/03/2019,"kf, qh, km",63 hole,307975,5808563,10,43410,female,black,2019,Reference
nt,43413,at09,1,2019at0901,10-Apr,,g,b7,br,2019at09,at09,passive,summer,08/03/2019,"kf, qh, km",blair's hole,307603,5808688,10,32361,female,grizzly,2019,Reference
nt,43416,at01,5,2019at0105,10-Apr,10-Apr,both,a17,br,2019at01,at01,passive,summer,08/29/2019,"kf, as, bc",stillwater forest,311025,5803339,10,43416,female,grizzly,2019,Reference
nt,43421,at14,5,2019at1405,>10,>10,both,coil 3 o'clock,mixed,2019at14,at14,passive,summer,08/28/2019,"as, km",atnarko campground beach,302041,5809940,10,32361,female,grizzly,2019,Landbased
nt,43428,at14,2,2021at1402,10-Apr,n/a,g,a35,mixed,2021at14,at14,passive,summer,08/11/2021,"ns, sm, ei, rs",atnarko campground,302042,5809951,10,36879,female,grizzly,2021,Landbased
nt,43432,at25,4,2019at2505,10-Apr,,g,b20,br,2019at25,at25,passive,summer,08/22/2019,"as, km, bc",little tweedsmuir,699677,5805811,9,43434,female,grizzly,2019,Platform_Drift
nt,43434,at25,4,2019at2505,>10,>10,both,b18,bl,2019at25,at25,passive,summer,08/22/2019,"as, km, bc",little tweedsmuir,699677,5805811,9,43434,female,grizzly,2019,Platform_Drift
nt,43440,at01,5,2019at0105,10-Apr,10-Apr,both,a5,br,2019at01,at01,passive,summer,08/29/2019,"kf, as, bc",stillwater forest,311025,5803339,10,43440,female,grizzly,2019,Reference
nt,43446,at05,9,2019at0509,>10,,g,c11,br,2019at05,at05,passive,fall,10/01/2019,"kf, as, km",line cabin,309302,5806163,10,43446,female,grizzly,2019,Reference
nt,43449,at10,9,2019at1009,>10,>10,both,a29,br,2019at10,at10,passive,fall,10/07/2019,"as, kf, km",billy's cabin,306611,5809269,10,41472,female,grizzly,2019,Landbased
nt,43451,at10,9,2019at1009,>10,10-Apr,both,a24,br,2019at10,at10,passive,fall,10/07/2019,"as, kf, km",billy's cabin,306611,5809269,10,41472,female,grizzly,2019,Landbased
