"","X","year","date","yearweek_ID","site_num","site_name","session_start_time","session_end_time","timestamp_focal.bhv.change","start_time_of_focal","length","file_id","focalbear_event","bear_name","sex","age","agesex","family","yrl_num","coy_num","num_offspring","coarse_code","fine_code","snorkel","carry_to_cover","video_time_behave_change","duration_of_behave","duration_in_seconds","start_time_within_the_minute","total_length_within_focalevent","sexing_comments"
"67",67,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,30,31,"","","0:00:36","0:00:03",3,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"68",68,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:36:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:02:22","0:01:46",106,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"69",69,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:38:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,30,31,"","","0:02:25","0:00:03",3,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"70",70,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:38:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:02:37","0:00:12",12,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"71",71,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:38:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,0,0,"","","0:06:10","0:03:33",213,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"72",72,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:42:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:06:20","0:00:10",10,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"73",73,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:42:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,100,100,"","","0:06:31","0:00:11",11,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"74",74,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:42:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:07:35","0:01:04",64,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"75",75,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:43:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,40,41,"","","0:08:16","0:00:41",41,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"76",76,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,30,31,"","","0:08:18","0:00:02",2,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"77",77,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,40,41,"","","0:08:29","0:00:11",11,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"78",78,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:08:31","0:00:02",2,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"79",79,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,40,41,"","","0:08:50","0:00:19",19,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"80",80,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,10,11,"","","0:08:52","0:00:02",2,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
"81",81,2019,"2019-08-27",201935,"B04","BELARKO","16:15","19:15","2019-08-26 17:44:00","17:36:02","0:11:11","B0404-F1","2019_B0404_FCL1","Golden","F","SUBADULT","Subadult","N",0,0,0,0,0,"","","0:11:11","0:02:19",139,NA,671,"Or young adult; long legs, undecended belly; same bear as an a couple of focal vids; sexed ~08:00 on zoom .5x playback (vulva hairs); bear has long tail"
